D_code,D_name,Nama_Pemenang,Parti_Pemenang,Undi_Menang,Oppo.Nama,Oppo.Parti,Oppo.Undi,Majoriti,Penyandang.Nama,Penyandang.Parti
N40,Kabong,Mohamad Chee bin Kadir,GPS (PBB),4789,Mohamad Asri bin Kassim,PBK,208,2763,Mohamad Chee Kadir,GPS (PBB)
N40,Kabong,Mohamad Chee bin Kadir,GPS (PBB),4789,Andri Zulkarnaen bin Hamden,AMANAH,91,2763,Mohamad Chee Kadir,GPS (PBB)
N41,Kuala Rajang,"Len Talif Salleh, Datuk Haji",GPS (PBB),5268,"Abang Aditajaya Abang Alwi, Datuk Seri",Bebas,1943,3325,"Len Talif Salleh, Datuk Haji",GPS (PBB)
N41,Kuala Rajang,"Len Talif Salleh, Datuk Haji",GPS (PBB),5268,Abd Mutalip bin Abdullah,Bebas,168,3325,"Len Talif Salleh, Datuk Haji",GPS (PBB)
N41,Kuala Rajang,"Len Talif Salleh, Datuk Haji",GPS (PBB),5268,Wong Ling Ching,PBK,109,3325,"Len Talif Salleh, Datuk Haji",GPS (PBB)
N42,Semop,"Abdullah bin Saidol, Datuk",GPS (PBB),4338,Abdul Raafidin bin Majidi,PSB,1180,3158,"Abdullah Saidol, Datuk",GPS (PBB)
N42,Semop,"Abdullah bin Saidol, Datuk",GPS (PBB),4338,Mohamad Adenan bin Zulkeppli,Bebas,811,3158,"Abdullah Saidol, Datuk",GPS (PBB)
N42,Semop,"Abdullah bin Saidol, Datuk",GPS (PBB),4338,Mohamad Fadillah bin Sabali,AMANAH,270,3158,"Abdullah Saidol, Datuk",GPS (PBB)
N42,Semop,"Abdullah bin Saidol, Datuk",GPS (PBB),4338,Jenny Wong Khing Ling,PBK,118,3158,"Abdullah Saidol, Datuk",GPS (PBB)
N43,Daro,Safiee bin Haji Ahmad,GPS (PBB),5317,Jamal bin Ibrahim,Bebas,205,5112,Safiee Ahmad,GPS (PBB)
N43,Daro,Safiee bin Haji Ahmad,GPS (PBB),5317,Ting Ing Hua,PBK,184,5112,Safiee Ahmad,GPS (PBB)
N44,Jemoreng,"Juanda bin Jaya, Dato' Murshid Diraja Dr",GPS (PBB),5623,Osman bin Rafaie,Bebas,611,5012,"Juanda Jaya, Dato' Murshid Diraja Dr",GPS (PBB)
N44,Jemoreng,"Juanda bin Jaya, Dato' Murshid Diraja Dr",GPS (PBB),5623,Zainab binti Suhaili,AMANAH,244,5012,"Juanda Jaya, Dato' Murshid Diraja Dr",GPS (PBB)
N45,Repok,"Huang Tiong Sii, Dato' Sri",GPS (SUPP),10038,Philip Wong Pak Ming,DAP,2730,7308,"Huang Tiong Sii, Dato' Sri",GPS
N45,Repok,"Huang Tiong Sii, Dato' Sri",GPS (SUPP),10038,Joseph Wong Kung King,PBK,738,7308,"Huang Tiong Sii, Dato' Sri",GPS
N45,Repok,"Huang Tiong Sii, Dato' Sri",GPS (SUPP),10038,Wong Chin King,ASPIRASI,216,7308,"Huang Tiong Sii, Dato' Sri",GPS
N46,Meradong,"Ding Kuong Hiing, Datuk",GPS (SUPP),6827,Hii Ru Yee,PSB,3465,3362,"Ding Kuong Hiing, Datuk",GPS (SUPP)
N46,Meradong,"Ding Kuong Hiing, Datuk",GPS (SUPP),6827,Yong Siew Wei,DAP,809,3362,"Ding Kuong Hiing, Datuk",GPS (SUPP)
N46,Meradong,"Ding Kuong Hiing, Datuk",GPS (SUPP),6827,Moh Hiong King,PBK,622,3362,"Ding Kuong Hiing, Datuk",GPS (SUPP)
N47,Pakan,"William Mawan ak. Ikom, Tan Sri",GPS (PBB),3268,Tedong ak. Chakaw,Bebas,2554,714,"William Mawan ak. Ikom, Tan Sri",GPS (PDP)
N47,Pakan,"William Mawan ak. Ikom, Tan Sri",GPS (PBB),3268,Hareward Gramong ak. Joseph Allen,PSB,1484,714,"William Mawan ak. Ikom, Tan Sri",GPS (PDP)
N47,Pakan,"William Mawan ak. Ikom, Tan Sri",GPS (PBB),3268,Brawi Anguong,Bebas,506,714,"William Mawan ak. Ikom, Tan Sri",GPS (PDP)
N47,Pakan,"William Mawan ak. Ikom, Tan Sri",GPS (PBB),3268,Jemeli ak. Keraj,PBK,133,714,"William Mawan ak. Ikom, Tan Sri",GPS (PDP)
N48,Meluan,Rolland Duat ak. Jubin,GPS (PDP),5269,Elly Lawai ak. Ngalai,PSB,4447,822,Rolland Duat ak. Jubin,GPS (PDP)
N48,Meluan,Rolland Duat ak. Jubin,GPS (PDP),5269,Abdul Hamid bin Siong,PBK,186,822,Rolland Duat ak. Jubin,GPS (PDP)
N49,Ngemah,Anyi ak. Jana,GPS (PRS),3193,"Joseph Jawa ak. Kendawang, Dr",PSB,2932,261,Alexander ak. Vincent,GPS (PRS)
N49,Ngemah,Anyi ak. Jana,GPS (PRS),3193,Leo ak. Bunsu,PBDSB,354,261,Alexander ak. Vincent,GPS (PRS)
N49,Ngemah,Anyi ak. Jana,GPS (PRS),3193,Satu Anchom,PKR,259,261,Alexander ak. Vincent,GPS (PRS)
N49,Ngemah,Anyi ak. Jana,GPS (PRS),3193,Charlie ak. Genam,PBK,169,261,Alexander ak. Vincent,GPS (PRS)
N50,Machan,Allan Siden Gramong,GPS (PBB),4155,Madang ak. Dimbab,PSB,2066,2089,Allan Siden Gramong,GPS (PBB)
N50,Machan,Allan Siden Gramong,GPS (PBB),4155,Mohd Fauzi Abdullah @ Joseph Nyambong,PKR,1267,2089,Allan Siden Gramong,GPS (PBB)
N50,Machan,Allan Siden Gramong,GPS (PBB),4155,Mary Rita ak. Mathias,PBK,203,2089,Allan Siden Gramong,GPS (PBB)
N50,Machan,Allan Siden Gramong,GPS (PBB),4155,Ngelayang ak. Unau,ASPIRASI,52,2089,Allan Siden Gramong,GPS (PBB)
N51,Bukit Assek,Chieng Jin Ek,GPS (SUPP),4684,Irene Mary Chang Oi Ling,DAP,3810,874,Irene Mary Chang Oi Ling,PH (DAP)
N51,Bukit Assek,Chieng Jin Ek,GPS (SUPP),4684,Priscilla Lau,PBK,2598,874,Irene Mary Chang Oi Ling,PH (DAP)
N51,Bukit Assek,Chieng Jin Ek,GPS (SUPP),4684,Ting Kee Nguan,PSB,1790,874,Irene Mary Chang Oi Ling,PH (DAP)
N51,Bukit Assek,Chieng Jin Ek,GPS (SUPP),4684,Hii Tiong Huat,Bebas,313,874,Irene Mary Chang Oi Ling,PH (DAP)
N51,Bukit Assek,Chieng Jin Ek,GPS (SUPP),4684,Jess Lau Kiu Ming,ASPIRASI,209,874,Irene Mary Chang Oi Ling,PH (DAP)
N52,Dudong,"Tiong King Sing, Dato Seri",GPS (PDP),9390,Wong Hie Ping,PSB,3584,5806,"Tiong Thai King, Datuk",PSB
N52,Dudong,"Tiong King Sing, Dato Seri",GPS (PDP),9390,Paul Ling Fong,DAP,2724,5806,"Tiong Thai King, Datuk",PSB
N52,Dudong,"Tiong King Sing, Dato Seri",GPS (PDP),9390,Jane Lau Sing Wee,PBK,1779,5806,"Tiong Thai King, Datuk",PSB
N52,Dudong,"Tiong King Sing, Dato Seri",GPS (PDP),9390,Fadhil Mohamad Isa (Cardock),Bebas,1178,5806,"Tiong Thai King, Datuk",PSB
N52,Dudong,"Tiong King Sing, Dato Seri",GPS (PDP),9390,Julius Enchana ak. Jaspher Ancho,PBDSB,893,5806,"Tiong Thai King, Datuk",PSB
N52,Dudong,"Tiong King Sing, Dato Seri",GPS (PDP),9390,Engga ak. Unchat,Bebas,225,5806,"Tiong Thai King, Datuk",PSB
N52,Dudong,"Tiong King Sing, Dato Seri",GPS (PDP),9390,Josephine Lau Kiew Ping,ASPIRASI,212,5806,"Tiong Thai King, Datuk",PSB
N53,Bawang Assan,"Wong Soon Koh, Dato' Sri",PSB,5952,Robert Lau Hui Yew,GPS (SUPP),5039,913,"Wong Soon Koh, Dato' Sri",PSB
N53,Bawang Assan,"Wong Soon Koh, Dato' Sri",PSB,5952,Amy Lau Bik Yeing,DAP,1173,913,"Wong Soon Koh, Dato' Sri",PSB
N53,Bawang Assan,"Wong Soon Koh, Dato' Sri",PSB,5952,Michelle Ling Shyan Mih,PBK,954,913,"Wong Soon Koh, Dato' Sri",PSB
N53,Bawang Assan,"Wong Soon Koh, Dato' Sri",PSB,5952,Ricky ak. Enteri,Bebas,645,913,"Wong Soon Koh, Dato' Sri",PSB
N54,Pelawan,Micheal Tiang Ming Tee,GPS (SUPP),4413,David Wong Kee Woan,DAP,4313,100,Wong Kee Woan,PH (DAP)
N54,Pelawan,Micheal Tiang Ming Tee,GPS (SUPP),4413,"Low Chong Nguan, Dr",PSB,3757,100,Wong Kee Woan,PH (DAP)
N54,Pelawan,Micheal Tiang Ming Tee,GPS (SUPP),4413,Jamie Tiew Yen Houng,PBK,3146,100,Wong Kee Woan,PH (DAP)
N54,Pelawan,Micheal Tiang Ming Tee,GPS (SUPP),4413,Janet Loh Wui Ping,ASPIRASI,302,100,Wong Kee Woan,PH (DAP)
N55,Nangka,"Annuar bin Rapa'ee, Dr",GPS (PBB),12059,Intanurazean binti Wan Sapuan Daud,PSB,1255,10804,"Annuar Rapa'ee, Dr",GPS (PBB)
N55,Nangka,"Annuar bin Rapa'ee, Dr",GPS (PBB),12059,Olivia Lim Wen Sia,PBK,1027,10804,"Annuar Rapa'ee, Dr",GPS (PBB)
N56,Dalat,"Fatimah Abdullah, Dato Sri Hajah",GPS (PBB),7085,Salleh bin Mahali,PBK,460,6625,"Fatimah Abdullah @ Ting Sai Ming, Dato Sri Hajah",GPS (PBB)
N57,Tellian,Royston bin Valentine,GPS (PBB),4282,Sait bin Junaidi,PSB,1365,2917,Yussibnosh Balo,GPS (PBB)
N57,Tellian,Royston bin Valentine,GPS (PBB),4282,Mohd Arwin Lim Abdullah,PKR,287,2917,Yussibnosh Balo,GPS (PBB)
N57,Tellian,Royston bin Valentine,GPS (PBB),4282,Zainuddin bin Budug,PBK,174,2917,Yussibnosh Balo,GPS (PBB)
N58,Balingian,Abdul Yakub bin Arbi,GPS (PBB),4050,Yusuf bin Abdul Rahman,PSB,1146,2904,Abdul Yakub Arbi,GPS (PBB)
N58,Balingian,Abdul Yakub bin Arbi,GPS (PBB),4050,Abdul Jalil bin Bujang,PKR,498,2904,Abdul Yakub Arbi,GPS (PBB)
N59,Tamin,"Christopher Gira ak. Sambang, Ir",GPS (PRS),7778,"Joseph Entulu ak. Belaun, Datuk",PSB,4190,3588,"Christopher Gira ak. Sambang, Ir",GPS (PRS)
N60,Kakus,"John Sikie ak. Tayai, Datuk",GPS (PRS),5307,Peter ak. Tuan,PSB,3410,1897,"John Sikie ak. Tayai, Datuk",GPS
N60,Kakus,"John Sikie ak. Tayai, Datuk",GPS (PRS),5307,Ugik ak. Selipeh,Bebas,546,1897,"John Sikie ak. Tayai, Datuk",GPS
N60,Kakus,"John Sikie ak. Tayai, Datuk",GPS (PRS),5307,Joshua Jabeng,PKR,375,1897,"John Sikie ak. Tayai, Datuk",GPS
N60,Kakus,"John Sikie ak. Tayai, Datuk",GPS (PRS),5307,Philip Kelanang Diung,PBK,337,1897,"John Sikie ak. Tayai, Datuk",GPS
N60,Kakus,"John Sikie ak. Tayai, Datuk",GPS (PRS),5307,Tiun ak. Kanun,Bebas,162,1897,"John Sikie ak. Tayai, Datuk",GPS
N61,Pelagus,Wilson Nyabong ak. Ijang,GPS (PRS),2843,"Kristoffer Nyuak Bajok, Datuk",PSB,1794,1049,Wilson Nyabong ak. Ijang,GPS
N61,Pelagus,Wilson Nyabong ak. Ijang,GPS (PRS),2843,Solomon ak. Kumbong,DAP,250,1049,Wilson Nyabong ak. Ijang,GPS
N61,Pelagus,Wilson Nyabong ak. Ijang,GPS (PRS),2843,Nyambong ak. Sibat,PBK,88,1049,Wilson Nyabong ak. Ijang,GPS
N61,Pelagus,Wilson Nyabong ak. Ijang,GPS (PRS),2843,Moses ak. Ripai,PBDSB,76,1049,Wilson Nyabong ak. Ijang,GPS
N62,Katibas,Lidam ak. Assan,GPS (PBB),4198,Robertson Mawa ak. Luat,PSB,1201,2997,"Ambrose Blikau ak. Enturan, Dato Sri",GPS (PBB)
N62,Katibas,Lidam ak. Assan,GPS (PBB),4198,Munan ak. Laja,PKR,763,2997,"Ambrose Blikau ak. Enturan, Dato Sri",GPS (PBB)
N62,Katibas,Lidam ak. Assan,GPS (PBB),4198,Yunus bin Basri,PBK,149,2997,"Ambrose Blikau ak. Enturan, Dato Sri",GPS (PBB)
N62,Katibas,Lidam ak. Assan,GPS (PBB),4198,Tengku ak. Gruna,Bebas,123,2997,"Ambrose Blikau ak. Enturan, Dato Sri",GPS (PBB)
N62,Katibas,Lidam ak. Assan,GPS (PBB),4198,Sai ak. Malaka,PBDSB,62,2997,"Ambrose Blikau ak. Enturan, Dato Sri",GPS (PBB)
N63,Bukit Goram,Jefferson Jamit ak. Unyat,GPS (PBB),4253,Joseph Jinggut,DAP,715,3538,Jefferson Jamit ak. Unyat,GPS
N63,Bukit Goram,Jefferson Jamit ak. Unyat,GPS (PBB),4253,Robert Segie,PSB,689,3538,Jefferson Jamit ak. Unyat,GPS
N63,Bukit Goram,Jefferson Jamit ak. Unyat,GPS (PBB),4253,Puso bin Bujang,PBK,297,3538,Jefferson Jamit ak. Unyat,GPS
N63,Bukit Goram,Jefferson Jamit ak. Unyat,GPS (PBB),4253,Robert Saweng,PBDSB,259,3538,Jefferson Jamit ak. Unyat,GPS
N64,Baleh,Nicholas Kudi ak. Jantai,GPS (PRS),3541,Koh ak. Kumbong,PSB,1632,1909,Kosong,
N64,Baleh,Nicholas Kudi ak. Jantai,GPS (PRS),3541,Kenneth Usang ak. George Lagong,DAP,470,1909,Kosong,
N64,Baleh,Nicholas Kudi ak. Jantai,GPS (PRS),3541,Irwan Iskandar Sukarno Abdullah @ Sukarno Layau,PBK,82,1909,Kosong,
N65,Belaga,"Liwan Lagang, Datuk",GPS (PRS),3552,Henry Usat Bit,PSB,1307,2245,"Liwan Lagang, Datuk",GPS (PRS)
N65,Belaga,"Liwan Lagang, Datuk",GPS (PRS),3552,"John Bampa, Dr",PBK,97,2245,"Liwan Lagang, Datuk",GPS (PRS)
N65,Belaga,"Liwan Lagang, Datuk",GPS (PRS),3552,Siki Balarik,Bebas,81,2245,"Liwan Lagang, Datuk",GPS (PRS)
N66,Murum,Kennedy Chukpai Ugon,GPS (PRS),4584,Stanley Ajang Batok,PSB,1665,2919,Chukpai Ugon,GPS (PRS)
N66,Murum,Kennedy Chukpai Ugon,GPS (PRS),4584,Anie Amat,PKR,513,2919,Chukpai Ugon,GPS (PRS)
N66,Murum,Kennedy Chukpai Ugon,GPS (PRS),4584,Kenneth Adan Silek,PBDSB,159,2919,Chukpai Ugon,GPS (PRS)
N67,Jepak,"Talib Zulpilip, Datuk Haji",GPS (PBB),6277,"Raba'ah Tudin, Dr",PSB,2034,4243,"Talib Zulpilip, Datuk Haji",GPS (PBB)
N67,Jepak,"Talib Zulpilip, Datuk Haji",GPS (PBB),6277,Stevenson ak. Joseph Sumbang,PBK,587,4243,"Talib Zulpilip, Datuk Haji",GPS (PBB)
N67,Jepak,"Talib Zulpilip, Datuk Haji",GPS (PBB),6277,Tuah Kazan,Bebas,141,4243,"Talib Zulpilip, Datuk Haji",GPS (PBB)
N68,Tanjong Batu,Johny Pang Leong Ming,GPS (SUPP),4092,Tony Chiew Chan Yew,DAP,4069,23,Chiew Chin Sing,PH (DAP)
N68,Tanjong Batu,Johny Pang Leong Ming,GPS (SUPP),4092,Andy Yek Hock Siang,PBK,2204,23,Chiew Chin Sing,PH (DAP)
N68,Tanjong Batu,Johny Pang Leong Ming,GPS (SUPP),4092,Tang Eng Hui,PSB,1071,23,Chiew Chin Sing,PH (DAP)
N68,Tanjong Batu,Johny Pang Leong Ming,GPS (SUPP),4092,Chieng Lea Phing,ASPIRASI,93,23,Chiew Chin Sing,PH (DAP)
